,u_userId,u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,u_newsCatInterests,u_newsCatDislike,u_newsCatInterestsST,u_click_ca2_news,i_docId,i_s_sourceId,i_regionEntity,i_cat,i_entities,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_pl,e_rn,e_section,e_et,label,cillabel,pro
10,223123,11,17,14,16,2,0,0,sdv-pii-w9fy2,sdv-pii-r4rw3,sdv-pii-a1ds2,c4d3ed25402e08c1d3633c806bc0987219a36edb,2941,117,sdv-pii-5tirn,0,0,13,14,403,8,1768,2,0,202206082321,-1,-1,0
11,244966,16,17,14,17,6,16^63^168^220^142,0,sdv-pii-8d5gg,sdv-pii-f68d6,sdv-pii-fzkui,772b4a2593c3aa2590291f25d4bbc463a9ac49a2,1,184,sdv-pii-fj0cd,0,0,14,18,1223,1,50,4,0,202206082143,-1,-1,0
12,275473,14,17,10,17,3,171^169^172^16^62,0,sdv-pii-xzdne,sdv-pii-a6wxc,sdv-pii-t6dwk,c07287c465dc24013ec0d11a16ec6b4fb88658be,393,91,sdv-pii-6aafy,0,0,13,18,695,3,808,3,0,202206081496,-1,-1,0
13,102527,14,17,14,17,9,199^86^131^157^117,0,sdv-pii-kv5zk,sdv-pii-d7czr,sdv-pii-phu9x,cb95b9a535e078ab6a0b924732bbee90a25fe480,552,215,,5,2,14,19,858,8,962,2,0,202206081990,-1,-1,0
14,130264,14,10,14,13,9,168^10^117^21^98,0,sdv-pii-x290q,sdv-pii-z6p6v,sdv-pii-165uf,7688083b3c33431c515273d1b258094d55b4cc5d,0,194,sdv-pii-6rk0o,0,2,13,16,1234,3,1098,3,0,202206081097,-1,-1,0
15,137524,14,17,16,11,5,88^100^0^177^131,0,sdv-pii-jin1m,sdv-pii-c2pek,sdv-pii-5w5in,fb9e931ea391faa3721cb9030738783293385dea,0,218,sdv-pii-0of95,9,0,13,16,1126,3,1321,2,1,202206081902,-1,-1,0
16,221031,15,17,10,17,9,171^0^27^216^27,0,sdv-pii-1m7rd,sdv-pii-eheuo,sdv-pii-gpg0d,047dd3ab6ec9f91028147e63adf34b37360bdbe7,3187,122,sdv-pii-ll0cp,0,0,11,17,740,10,138,2,0,202206081533,-1,-1,0
17,205555,14,17,14,12,4,104^25^112^114^98,0,sdv-pii-oicti,sdv-pii-h5oot,sdv-pii-yo59l,aad7959a4d7a0c1bf4448b1412f59b88e0ac4cf9,3187,60,sdv-pii-vvqn3,1,6,13,17,1091,8,1743,2,0,202206081485,-1,-1,0
18,285920,16,17,10,17,8,50^219^134^106^98,0,sdv-pii-o60k2,sdv-pii-ru851,sdv-pii-91u8e,f8522f3692a0433a305f37d32b16e94df3d6cc22,3187,190,sdv-pii-borv0,1,7,13,20,1430,5,2936,4,1,202206081738,-1,-1,0
19,101471,10,17,14,17,8,112^199^98^98^98,0,sdv-pii-ed86v,sdv-pii-r33kl,sdv-pii-zad8b,9e5226ef81bf205dfe0ceefd6b7124ead82a6416,0,1,sdv-pii-a4p3v,1,7,13,20,317,22,549,3,0,202206080178,-1,-1,0
20,283320,14,17,14,16,0,216^0^171^100^59,0,sdv-pii-k6l6s,sdv-pii-f3kp0,sdv-pii-4htpd,307d1245e05586cdaae8b6c194d2272c15ad54ae,2830,100,sdv-pii-53myb,0,0,13,20,1174,8,1017,2,0,202206081852,-1,-1,100
21,100416,15,11,14,13,5,171^216^117^65^16,0,sdv-pii-6d9gr,sdv-pii-eb9wd,sdv-pii-bc1rn,f8522f3692a0433a305f37d32b16e94df3d6cc22,0,99,sdv-pii-zgxxs,8,0,14,19,523,10,482,2,0,202206080956,-1,-1,0
22,279019,14,17,14,17,0,168^15^176^86^86,0,sdv-pii-23hq1,sdv-pii-1y0n3,sdv-pii-7ywrf,649d02b90c5b67640c52888c4b91200d886cba83,3187,123,sdv-pii-xc752,0,8,11,20,911,7,1375,2,1,202206081800,-1,-1,100
23,118991,16,17,14,17,5,10^168^44^96^191,0,sdv-pii-s45yc,sdv-pii-j73n1,sdv-pii-ilo3i,645e57afbbafce5159ab7fe956837c40103f33c9,0,97,sdv-pii-337xn,0,0,13,18,383,4,1470,3,0,202206081953,-1,-1,0
24,220078,14,11,14,11,0,86^169^43^199^117,0,sdv-pii-casic,sdv-pii-k9mmc,sdv-pii-t1r8w,a6f40e36a4df17eb23baceafa8b8a839ff05d4fa,1281,87,sdv-pii-kcueq,0,0,13,19,1040,9,2751,5,0,202206081980,-1,-1,40
25,118152,10,17,14,14,7,78^98^98^98^0,0,sdv-pii-8u8ii,sdv-pii-0u9th,sdv-pii-tk29b,645e57afbbafce5159ab7fe956837c40103f33c9,0,167,sdv-pii-hnwx3,0,9,13,15,999,6,291,4,0,202206081187,-1,-1,0
26,137736,14,17,14,11,5,0,0,sdv-pii-01abt,sdv-pii-q5ovi,sdv-pii-pm0b2,14cbe3735e6fd61add145586131b3cab9eb4280b,6,195,sdv-pii-kct4x,0,0,11,20,596,5,3135,2,1,202206082119,1,-1,80
27,228752,10,16,14,17,5,140^56^30^111^16,0,sdv-pii-p7fhr,sdv-pii-efymt,sdv-pii-nps9x,17e2096e1166ac681f04f5c8e25d2a00f5110f9e,3187,112,sdv-pii-23nd4,6,8,13,15,1184,4,2975,4,0,202206082113,-1,-1,0
28,151497,14,17,14,17,0,98^112^112^98^98,0,sdv-pii-30hg1,sdv-pii-uzomb,sdv-pii-ka3y6,58ad3133d62eb8b16254077e49ece31be9c8e306,882,102,sdv-pii-at4cw,2,9,13,18,782,4,830,5,0,202206081984,1,-1,0
29,183799,14,17,14,17,6,171^98^65^143^98,0,sdv-pii-4v1o7,sdv-pii-oc0e2,sdv-pii-f43el,c3f2bb7a790552e3516456f1064065cc1d2acdd0,0,49,sdv-pii-762bj,0,0,13,13,1316,2,103,3,0,202206080441,-1,-1,0
30,184547,14,16,14,17,6,219^65^104^168^65,0,sdv-pii-v0sgb,sdv-pii-3c084,sdv-pii-eep3r,7688083b3c33431c515273d1b258094d55b4cc5d,539,78,sdv-pii-wb3de,8,8,13,16,1045,11,1109,2,0,202206080116,-1,-1,0
31,176992,14,17,14,11,0,0,0,sdv-pii-upzmb,sdv-pii-lmrnk,sdv-pii-hz29o,39c20be9cce448a7128ede705bc005bbd0a60a63,0,189,sdv-pii-eugvb,6,0,11,17,407,6,24,2,0,202206082304,-1,-1,0
32,114182,14,16,14,11,9,65^169^65^210^123,0,sdv-pii-w9x50,sdv-pii-yjsrs,sdv-pii-erjbx,17e2096e1166ac681f04f5c8e25d2a00f5110f9e,0,84,sdv-pii-txeim,4,9,10,19,1070,6,1829,2,0,202206080457,-1,-1,0
33,230920,11,17,14,17,3,10^98^199^219^98,0,sdv-pii-bj04e,sdv-pii-789wd,sdv-pii-3idze,772b4a2593c3aa2590291f25d4bbc463a9ac49a2,248,201,sdv-pii-ghdv9,5,8,13,17,626,4,2587,2,0,202206081263,-1,-1,0
34,136382,16,17,10,17,6,168^112^112^98^65,0,sdv-pii-w9nj1,sdv-pii-f34ab,sdv-pii-6o77n,39c20be9cce448a7128ede705bc005bbd0a60a63,36,95,sdv-pii-lz4n8,0,6,13,17,999,11,2646,2,1,202206081191,-1,-1,0
35,285867,14,11,14,17,9,216^109^199,0,sdv-pii-ss69s,sdv-pii-rtnf0,sdv-pii-rc91u,645e57afbbafce5159ab7fe956837c40103f33c9,0,73,sdv-pii-3dtzs,0,9,11,16,1373,6,2490,2,0,202206081920,-1,-1,100
36,163354,16,17,14,17,9,98^98^98^98^78,0,sdv-pii-ysfva,sdv-pii-2hbb2,sdv-pii-hpo26,772b4a2593c3aa2590291f25d4bbc463a9ac49a2,3152,68,sdv-pii-6g5wf,6,8,11,20,1394,11,1698,2,1,202206082208,-1,-1,0
37,284542,11,17,14,17,5,168^20^58^199^98,0,sdv-pii-926y1,sdv-pii-2mfls,sdv-pii-1u6w2,34c7e36ce55e5f2cdd64d65f39f249b7b9fbed43,498,32,sdv-pii-yc58l,9,0,13,16,1305,20,541,2,0,202206082314,-1,-1,0
38,175306,11,17,14,16,6,168^171^216^104^203,0,sdv-pii-4q8nn,sdv-pii-wpxm2,sdv-pii-jcrre,772b4a2593c3aa2590291f25d4bbc463a9ac49a2,0,18,sdv-pii-fg9b3,0,0,13,19,285,14,302,2,0,202206082057,-1,-1,0
39,178605,14,16,10,17,0,98^98^78^98^98,0,sdv-pii-8ky0u,sdv-pii-27xbk,sdv-pii-weaci,649d02b90c5b67640c52888c4b91200d886cba83,0,209,sdv-pii-orgjp,9,9,13,20,873,6,2868,3,0,202206081909,1,-1,100
40,174840,14,17,14,17,0,86^88^45^86^119,0,sdv-pii-24y2m,sdv-pii-st95f,sdv-pii-xabt9,8d18fc535b1cef1401278dfeebac7e58ab91458d,504,145,sdv-pii-lx5rm,9,0,13,14,1077,5,1659,3,1,202206081356,-1,-1,0
41,122244,14,17,14,17,9,219^35^140^50^199,0,sdv-pii-a98z7,sdv-pii-22jml,sdv-pii-wrp32,06c915cccebc58492214cd3122da3d2812065249,18,149,sdv-pii-2e4zp,0,9,13,14,803,4,1679,2,0,202206081948,-1,-1,0
42,223430,16,17,14,17,6,16^86^220^112^56,0,sdv-pii-mmvml,sdv-pii-n848n,sdv-pii-bf2rr,8bfd032b50b89d2eaa8c957052a757c6739d1438,0,161,sdv-pii-q1l1v,0,0,11,20,257,15,1144,2,1,202206080873,-1,-1,0
43,190877,14,17,14,16,0,219^188^211^65^43,0,sdv-pii-msxvm,sdv-pii-to6jy,sdv-pii-or6dd,436e73013ef1a2604c91f765d8e6424460d09a17,127,171,sdv-pii-7720g,9,6,13,20,762,7,1423,2,0,202206081617,-1,-1,0
44,236559,14,16,14,17,0,206^16^220^168^25,0,sdv-pii-d1bbf,sdv-pii-kbpv7,sdv-pii-ht90e,7f62f107159c186104f1f6ca53d9e79c01d1987d,7,162,sdv-pii-dfazg,0,5,11,16,1462,4,2255,2,0,202206082130,1,-1,0
45,129010,14,17,10,17,8,216^0^86^171^86,0,sdv-pii-h48yy,sdv-pii-545lh,sdv-pii-f4l8d,14cbe3735e6fd61add145586131b3cab9eb4280b,27,219,sdv-pii-qh9ng,0,0,13,15,1109,13,1935,2,1,202206080241,-1,-1,60
46,131197,14,17,14,17,0,78^112^98^0^37,0,sdv-pii-gd4et,sdv-pii-1yc89,sdv-pii-0hf79,747a7db16c6058ed095fa8d44758858baf1bf9bd,2300,173,sdv-pii-zr5u1,2,0,13,18,1444,8,126,5,1,202206080682,-1,-1,0
47,226203,11,17,14,17,8,0^216^171^112^182,0,sdv-pii-2fjet,sdv-pii-zvpss,sdv-pii-egf2t,af3e110be5f79477a25b897af5115acff0e56cbb,522,154,sdv-pii-hnn0i,2,8,13,20,941,7,1855,2,1,202206080515,1,-1,0
48,179450,14,17,14,17,7,57^168^98^86^44,0,sdv-pii-9xvbk,sdv-pii-q0jli,sdv-pii-ym6c0,772b4a2593c3aa2590291f25d4bbc463a9ac49a2,1432,189,sdv-pii-lp718,1,9,13,19,396,14,3022,2,0,202206082301,-1,-1,0
49,240807,14,11,14,17,9,21^199^218^98^2,0,sdv-pii-m0wn4,sdv-pii-cn3rr,sdv-pii-46wiy,2aaea754e8a72ddcb00386251dd1249b215ec97a,84,28,sdv-pii-i29mb,0,9,13,20,1176,10,2616,2,0,202206082159,-1,-1,0
50,103991,16,17,10,17,0,44^213^44^195^98,0,sdv-pii-cct8g,sdv-pii-n65fk,sdv-pii-fum1r,73d272f209161b6f831f4471cba4bf0ec88e528e,96,220,sdv-pii-5du5u,0,7,14,20,111,11,2628,2,0,202206081321,-1,-1,0
51,133951,14,17,14,10,9,123^168^30^194^16,0,sdv-pii-lrtwt,sdv-pii-rcoi9,sdv-pii-brp9f,c79f10cf00438f227d16311908a4e5484ed18dda,649,90,sdv-pii-xy7ct,9,0,13,17,1453,14,196,2,1,202206080150,-1,-1,0
52,219000,16,17,14,17,6,17^199^168^0^179,0,sdv-pii-dwv9e,sdv-pii-n6uk8,sdv-pii-10fen,8dbba6fa7798c385124ff591904f7dac1c2036c1,33,78,sdv-pii-deyvs,2,0,14,19,924,15,1860,2,0,202206081772,-1,-1,0
53,225270,10,16,16,15,0,112^213^206^86^112,0,sdv-pii-5ugq7,sdv-pii-xqqvw,sdv-pii-y6rbo,39c20be9cce448a7128ede705bc005bbd0a60a63,1298,89,sdv-pii-3hvgv,0,0,11,17,1296,15,1130,2,1,202206082096,-1,-1,60
54,238445,14,17,14,11,9,17^195^216^112^171,0,sdv-pii-aoujq,sdv-pii-xqz95,sdv-pii-5xeqb,f8640277ed0da3c8aa27259ffb6cad9b308ebf1d,85,189,sdv-pii-qxqmv,0,0,13,17,1234,7,1244,2,0,202206082192,-1,-1,0
55,233206,11,17,14,17,9,78^98^44^112^98,0,sdv-pii-2t3o6,sdv-pii-r3p7r,sdv-pii-7cr8a,747a7db16c6058ed095fa8d44758858baf1bf9bd,0,200,sdv-pii-zkpe6,2,9,13,10,544,5,2080,4,0,202206082107,-1,-1,0
56,144167,15,11,14,10,9,16^168^211^63^0,0,sdv-pii-w4esq,sdv-pii-s813p,sdv-pii-s7fn8,3a705744387ea91d68ce6b8172b528c53df49185,32,155,,0,0,11,19,867,7,1673,2,0,202206081833,-1,-1,0
57,117222,16,17,11,13,0,168^10^117^21^98,0,sdv-pii-ozd5p,sdv-pii-s5vsl,sdv-pii-7xx8u,9959f2ef265e8c0d277f00e7dc06290698cdf089,653,195,sdv-pii-sny0r,0,5,11,17,857,1,3109,2,1,202206080558,1,-1,0
58,142990,14,17,14,12,0,17^104^114^86^25,0,sdv-pii-5uo4u,sdv-pii-q71s7,sdv-pii-m2urs,df7adace3b79e5c31d0e4e9ddc9ca5f45734b084,3157,104,sdv-pii-jtema,5,9,11,19,1108,4,267,2,0,202206081331,-1,-1,0
59,277945,14,17,10,11,4,50^219^10^173^114,86,sdv-pii-hvgex,sdv-pii-87rie,sdv-pii-xgrnl,c79f10cf00438f227d16311908a4e5484ed18dda,0,24,sdv-pii-6iore,0,0,10,15,803,6,2975,2,0,202206081688,-1,-1,0
60,269232,16,17,14,17,2,213^57^57^98^56,0,sdv-pii-4ofl1,sdv-pii-rncw1,sdv-pii-xvyzc,7777acb78ea9b20f9a5c1084f4325f6d67c3c0e2,28,114,sdv-pii-4ayd8,0,5,13,16,992,3,3115,2,0,202206082230,-1,-1,0
61,114576,14,17,14,12,0,177^27^26^168^65,0,sdv-pii-l0xrb,sdv-pii-zg224,sdv-pii-9byv4,11aca0f4949e0dd4154719db7a57268206243822,73,149,sdv-pii-smzjy,0,2,13,19,369,8,2980,5,0,202206080306,-1,-1,0
62,134399,16,17,10,17,7,0,0,sdv-pii-g3el9,sdv-pii-9tg1o,sdv-pii-suymg,e37f1f0371310264d7f9084a5bc9d4832c9ba868,2,219,sdv-pii-cfzg3,0,0,11,19,243,5,2335,2,0,202206080700,-1,-1,0
63,111273,10,17,14,17,9,169^168^199^203^117,0,sdv-pii-5rqun,sdv-pii-6khjo,sdv-pii-wfs7l,645e57afbbafce5159ab7fe956837c40103f33c9,0,86,sdv-pii-13hi3,6,9,11,20,1267,12,927,2,0,202206080365,-1,-1,0
64,111827,16,17,14,17,9,98^98^78^112^98,0,sdv-pii-0c596,sdv-pii-739lw,sdv-pii-pmirz,109e82273c3390cbefcb8658ce12568e83e91d4b,2806,184,sdv-pii-tvnxe,2,3,13,16,1118,12,2399,2,0,202206082087,-1,-1,0
65,177182,14,11,11,16,9,171^0^203^168^205,98^108,sdv-pii-wud3z,sdv-pii-aldk4,sdv-pii-50ba9,39c20be9cce448a7128ede705bc005bbd0a60a63,107,166,sdv-pii-xl8fd,0,2,14,20,1199,9,1694,2,1,202206080689,-1,-1,0
66,137425,11,17,16,11,0,27^27^16^65^27,0,sdv-pii-uuw1o,sdv-pii-w5061,sdv-pii-8wdn9,c79f10cf00438f227d16311908a4e5484ed18dda,0,40,sdv-pii-e16ka,7,9,13,14,128,7,1646,4,0,202206082315,1,-1,0
67,261060,10,17,14,10,0,177^206^16^211^30,0,sdv-pii-gkw5g,sdv-pii-x93em,sdv-pii-6vuqm,645e57afbbafce5159ab7fe956837c40103f33c9,289,133,sdv-pii-ph631,0,9,11,16,495,3,878,6,0,202206081934,-1,-1,0
68,258235,10,17,16,17,5,171^0^100^182^59,0,sdv-pii-0ovg0,sdv-pii-vxuho,sdv-pii-6zrhx,7c660d6a3deaa17bc11329e02198c3c68c273264,0,48,sdv-pii-acz2c,0,8,14,18,799,9,2240,2,0,202206081206,-1,-1,0
69,122146,10,17,14,17,0,27^27^16^65^27,0,sdv-pii-23w9d,sdv-pii-szqcs,sdv-pii-49aer,73f567828d4034ed2ec5e840ad9f94725dc805bf,86,84,sdv-pii-bi62k,4,5,11,19,1025,17,2235,2,1,202206082283,-1,-1,0
70,154319,14,17,14,15,4,199^168^108^203^25,0,sdv-pii-gzk8q,sdv-pii-jha2f,sdv-pii-8l19r,df7adace3b79e5c31d0e4e9ddc9ca5f45734b084,3187,217,,9,9,13,20,39,13,287,2,1,202206082015,-1,-1,0
71,169742,16,17,16,17,2,96^168^112^199^112,0,sdv-pii-9olme,sdv-pii-2e3pe,sdv-pii-jlrer,58ad3133d62eb8b16254077e49ece31be9c8e306,1626,202,sdv-pii-0co1k,7,9,13,20,290,8,655,2,0,202206081767,-1,-1,0
72,155661,10,16,14,11,0,117^199^86^112^86,0,sdv-pii-qnc25,sdv-pii-4kkwf,sdv-pii-l0szk,109e82273c3390cbefcb8658ce12568e83e91d4b,0,68,sdv-pii-n1kgn,1,3,11,20,1188,10,2758,2,1,202206081038,-1,-1,0
73,159752,16,17,14,17,6,98^98^78^109^21,0,sdv-pii-7h6z1,sdv-pii-nyojd,sdv-pii-dbgev,32821a20916400e7432f2284a15af0143e2c0150,3187,112,sdv-pii-22oum,9,9,13,14,802,13,2780,3,0,202206081557,-1,-1,0
74,197854,14,17,14,15,0,117^26^15^86^169,0,sdv-pii-xpxf3,sdv-pii-zbzqp,sdv-pii-b9g00,58f6c6757dd0d0b121c3fdf7c393d5fff7edb661,142,217,sdv-pii-gcm85,6,0,13,20,158,18,2187,2,0,202206081744,-1,-1,0
75,268826,10,17,14,17,9,168^112^216^171^0,0,sdv-pii-hfoez,sdv-pii-12lda,sdv-pii-lm3us,121eacca77fc36a02d7cb6be12d8a9f3b369905a,519,185,sdv-pii-1jmvd,4,0,13,20,303,6,2106,2,1,202206081408,-1,-1,0
76,226856,14,17,16,17,4,17^195^216^112^171,0,sdv-pii-59wxy,sdv-pii-qu1bf,sdv-pii-mqtpy,e63500d24701ff7443656516d7f95268adfc9632,375,201,sdv-pii-en0iy,5,9,11,18,1141,9,1936,3,0,202206082226,-1,-1,0
77,248966,14,11,14,16,0,26^169^185^27^44,0,sdv-pii-91n1q,sdv-pii-1pqo8,sdv-pii-h5tgf,645e57afbbafce5159ab7fe956837c40103f33c9,1707,157,sdv-pii-infpn,3,0,11,20,1318,5,246,2,1,202206081947,-1,-1,0
78,260443,16,17,16,17,4,17^98^78^0^39,0,sdv-pii-xjcde,sdv-pii-jyiyl,sdv-pii-yfyux,c21bad4995c1d94efb11de20e289516808338b39,46,60,sdv-pii-fi1cc,5,2,13,17,120,14,2378,3,0,202206082292,-1,-1,0
79,273909,10,17,14,17,3,65^39^199^200^220,0,sdv-pii-kmc5i,sdv-pii-parnn,sdv-pii-v4le2,14cbe3735e6fd61add145586131b3cab9eb4280b,32,78,sdv-pii-ex6aw,2,0,13,18,180,6,1281,2,1,202206082219,-1,-1,0
80,218741,14,17,14,15,6,78^98^98^98^0,0,sdv-pii-v2gmp,sdv-pii-zj589,sdv-pii-lo0qo,7f62f107159c186104f1f6ca53d9e79c01d1987d,1,16,sdv-pii-gplu1,0,0,14,20,105,4,2320,3,1,202206082039,-1,-1,100
81,158523,14,17,14,17,9,96^168^112^199^112,0,sdv-pii-bkbeb,sdv-pii-bkisb,sdv-pii-o4wit,71e5d523525cd030cc54e91ab432a88ccc9cc824,2510,200,sdv-pii-746fe,6,9,13,15,1154,5,1927,2,1,202206082091,-1,-1,0
82,170165,10,17,14,17,5,98^98^78^98^98,0,sdv-pii-pqs7q,sdv-pii-it2c4,sdv-pii-l5tse,0c6511c2a3ee845891c5658d37d9b61a1e7a4179,822,212,,9,2,13,20,570,4,2111,2,1,202206080452,-1,-1,0
83,258177,16,17,14,17,9,17^195^216^112^171,0,sdv-pii-e50xq,sdv-pii-l7hum,sdv-pii-4lc1g,3a705744387ea91d68ce6b8172b528c53df49185,2045,196,sdv-pii-ahmdr,2,0,13,16,406,9,1883,2,1,202206081616,-1,-1,0
84,243764,16,17,14,17,4,168^109^203^26^220,0,sdv-pii-3lxcx,sdv-pii-p38z7,sdv-pii-5hfck,772b4a2593c3aa2590291f25d4bbc463a9ac49a2,145,189,sdv-pii-q60jl,0,7,13,16,1399,3,920,2,1,202206081631,-1,-1,0
85,163933,14,17,14,17,0,168,0,sdv-pii-2h5rw,sdv-pii-t2c7d,sdv-pii-6xniw,645e57afbbafce5159ab7fe956837c40103f33c9,9,7,sdv-pii-zhi5k,2,2,13,17,1050,7,2638,2,1,202206081941,-1,-1,0
86,248915,14,17,14,17,0,168^17^30^203^220,0,sdv-pii-3rc1t,sdv-pii-b19gk,sdv-pii-tu8xo,645e57afbbafce5159ab7fe956837c40103f33c9,0,126,sdv-pii-eqpav,3,2,13,20,528,16,2897,2,0,202206082121,-1,-1,0
87,104911,13,17,14,17,5,98^199^112^78^98,0,sdv-pii-a61p3,sdv-pii-1hlzb,sdv-pii-fktat,df7adace3b79e5c31d0e4e9ddc9ca5f45734b084,194,100,sdv-pii-641y9,0,1,13,12,581,3,3060,4,0,202206081789,-1,-1,0
88,135162,11,17,14,17,6,207^199^168^172^104,0,sdv-pii-j5odu,sdv-pii-df2da,sdv-pii-svtbl,39c20be9cce448a7128ede705bc005bbd0a60a63,2906,145,,0,5,13,20,836,16,2025,4,0,202206081311,-1,-1,0
89,185461,14,16,11,17,6,213^57^98^168^203,0,sdv-pii-44jw8,sdv-pii-2sie7,sdv-pii-w42ux,be0a6f86f8c0b8abb0f90f562c171764766d418a,483,127,sdv-pii-mlhs3,0,6,13,18,664,10,203,2,0,202206082237,-1,-1,0
90,202927,14,17,14,11,2,169^213^98^98^78,0,sdv-pii-x97gy,sdv-pii-zhu4o,sdv-pii-5gr93,4880a2609e517f8bb972233bbdae00d24d21f403,453,11,sdv-pii-nnt1w,1,0,13,17,1380,5,991,2,0,202206081631,-1,-1,0
91,137310,10,17,14,17,9,65^168^153^65^0,0,sdv-pii-kqvev,sdv-pii-4iom4,sdv-pii-8wqnc,4812cc4eada85eb14f51741f18cb13c45868e560,2,60,,9,0,13,16,458,6,1799,8,0,202206082173,-1,-1,0
92,117236,10,15,14,11,0,0,65,sdv-pii-evgfe,sdv-pii-vrtda,sdv-pii-lxpy2,7641b2761cee701b42acba37361a7cc417e69c74,3187,220,sdv-pii-035s3,0,9,14,16,1068,7,449,2,1,202206081670,-1,-1,0
93,281123,16,17,10,17,2,171^220^169^216^35,0,sdv-pii-o98pu,sdv-pii-c2b7s,sdv-pii-gimj1,fb9e931ea391faa3721cb9030738783293385dea,66,147,sdv-pii-i11ia,2,0,13,20,765,15,2070,2,0,202206081075,-1,-1,0
94,154210,11,11,14,15,9,168^98^78^112^8,0,sdv-pii-k1an3,sdv-pii-81hp5,sdv-pii-ghdwo,0c6511c2a3ee845891c5658d37d9b61a1e7a4179,1107,165,sdv-pii-a40sf,3,9,13,12,1005,9,411,3,0,202206082209,-1,-1,0
95,103169,11,16,14,11,0,0,0,sdv-pii-a198i,sdv-pii-91jtn,sdv-pii-o439h,029eb015b4067bbe7655dd2549a352e14b22e536,2100,205,sdv-pii-evp7s,0,3,13,18,1338,21,377,2,0,202206081835,1,-1,0
96,112603,14,17,14,17,9,216^0^171^49^136,0,sdv-pii-e56ha,sdv-pii-0ogcx,sdv-pii-la4hj,d0f3889baf24239a2e3fd5090fd961e660ae649f,132,32,sdv-pii-39e7r,0,0,11,16,324,12,1276,2,1,202206081998,-1,-1,0
97,283684,10,17,14,16,0,78^98^191^171^213,0,sdv-pii-p7o22,sdv-pii-w9bqz,sdv-pii-y2gny,61ca200303ef0f22cc7ea1b66d59001742231290,58,215,sdv-pii-6jxot,0,0,13,19,1434,12,655,2,1,202206081894,-1,-1,0
98,274276,15,17,14,17,3,63^63^86^0^199,0,sdv-pii-0piwu,sdv-pii-xkmnl,sdv-pii-dty23,ba8e89fc7cc43d4fec6605f1860482e0d3d3a770,492,185,sdv-pii-mvzun,0,7,13,20,839,7,698,2,0,202206081030,-1,-1,0
