,log_id,label,user_id,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,net_type,task_id,adv_id,creat_type_cd,adv_prim_id,inter_type_cd,slot_id,site_id,spread_app_id,hispace_app_tags,app_second_class,app_score,ad_click_list_v001,ad_click_list_v002,ad_click_list_v003,ad_close_list_v001,ad_close_list_v002,ad_close_list_v003,pt_d,u_newsCatInterestsST,u_refreshTimes,u_feedLifeCycle
11,512076248,0,101266,5,2,13,306,3,13,7,20,239,1247,7,11511,21107,3,1332,5,17,1,360,17,23,0.0,16700^16760^15472^13929^35534,1740^2056^1245^1964^1031,309^240^162^350^312,24107,1218,173,202206030625,88^140^207^176^15,9,17
12,228881019,0,101011,8,2,14,285,5,27,8,33,109,1208,7,20823,17557,8,1052,5,57,1,104,24,15,10.0,34382^21762^28481^16549^34848,1898^1036^1690^1114^1423,190^162,24107,1218,173,202206031359,65^112^10^44^219,5,17
13,83207011,0,100476,3,2,17,181,2,34,5,27,270,1886,3,14395,12931,8,1038,5,14,1,289,32,16,0.0,14748^35040^34315^26095,1767^1535^1188^1040^1036,306^116^152^305^141,24107,1218,173,202206030680,63^207^220^153^168,0,15
14,898197286,0,100472,6,2,22,194,2,21,6,26,122,1489,7,33240,18363,8,1697,4,15,1,190,52,18,10.0,11623^13391^22937^15355^12298,1837^1005^1112^2066^1491,293,24107,1218,173,202206031073,65^173^171^168^56,3,17
15,593527215,0,100156,5,2,24,178,2,33,3,29,153,1579,7,24316,10322,8,1254,4,21,1,324,46,18,10.0,14737^25802^32492^13240^33873,1126^1037^1730^1719^1382,305^327^344^317^301,24107,1218,173,202206030823,67^173^17^112^98,0,17
16,618275921,0,101619,7,2,29,141,5,15,4,15,175,2318,7,12178,16524,8,1143,4,24,1,127,36,20,10.0,36056^31706^30988^34868^14584,1633^1036^1433^1235^1236,162^111^346^197^349,24107,1218,173,202206030394,74^0^98^112^22,8,16
17,213596337,0,100173,8,2,38,440,2,23,6,33,174,2340,7,19072,22823,10,1142,5,23,1,344,30,19,10.0,15764,1532^1392^1023^1795^1696,132^168^312,24107,1218,173,202206030329,216^206^59^27^112,7,17
18,749648796,0,100536,7,2,23,379,2,12,6,35,319,1565,7,11908,15226,8,1162,5,19,1,136,51,14,10.0,26994^23801^29996^17972^31751,1522^1914^1717^1875^1065,190^162^372^168,24107,1218,173,202206030470,96^171^206^172^57,2,17
19,983575992,0,101033,7,2,15,348,2,19,6,31,258,2350,7,34143,12698,8,1163,4,15,1,203,48,21,10.0,12931^33249^18800,1105^1557,197^152,24107,1218,173,202206031504,216^62^112^159^78,6,17
20,947195285,1,100250,8,2,15,174,5,24,6,26,112,1810,4,24017,12311,8,1086,4,19,1,193,41,14,10.0,18800^33380^22139^34426^15999,1837,306^240^150,24107,1218,173,202206030552,219^112^199^112^168,5,11
21,204706488,0,101490,6,2,18,330,2,33,2,22,141,2242,7,18702,10574,10,1074,3,28,1,216,32,24,6.0,26152^30966^19937^31941^32230,1610^1244^1036^1633^1800,240^199^372^321^349,24107,1218,321,202206030546,169^147^18^112^16,9,17
22,365659877,0,101244,5,2,18,348,2,25,5,31,255,1375,7,11355,12826,3,1075,5,13,1,306,15,21,10.0,27741^28511^34078^23554^34493,1892^1955^1499^1828^1795,176^306^141,24107,1218,173,202206030578,112^98^105^218^15,8,17
23,305271805,0,101444,6,4,44,264,5,33,2,13,308,2106,7,34989,14270,10,1776,5,15,1,115,34,15,10.0,11434^31342^23565^35828^15203,1197^1403^1611^1460^1518,240^141^114^344,24107,1218,173,202206031409,78^25^86^44^67,7,17
24,647803378,0,101574,8,2,34,395,4,34,2,13,262,1322,7,29608,12792,8,1069,4,39,1,261,42,22,10.0,34800,1112^1036^1005^2042^1513,190^336^312^321^162,24107,1218,173,202206031143,199^119^58^112^171,8,16
25,542667244,0,100132,3,2,16,115,2,18,8,29,114,1822,7,21690,15661,8,1985,4,46,1,137,40,19,10.0,19427^36257^17020^14787^20072,1126^1037^1730^1719^1382,305^327^344^317^301,10684,1218,173,202206030956,171^65^199^186^112,7,17
26,954807938,0,101059,8,2,40,327,2,15,2,20,119,2152,7,16413,15254,10,1057,4,50,1,323,50,17,10.0,24653^20191^27418^26163^14199,1340^1586,301^121^246^312^114,24107,1218,173,202206031371,88^140^207^176^15,8,17
27,89212520,0,100083,5,4,42,291,2,33,2,12,296,2445,4,13315,12523,8,1288,5,23,1,303,41,18,10.0,13897^16541^35196^24338^26873,1008^1635^1548^1666^1230,162^257,24107,1218,196^257^301^240^176,202206030316,98^78^199^112^167,0,17
28,949053090,0,100323,8,2,18,115,5,26,6,35,162,2336,7,36266,13503,10,1384,5,56,1,163,25,18,10.0,20026^11218^25073^28594,1230^1169^1518^1036^1244,162^304^240,24107,1218,173,202206030673,219^112^199^112^168,9,17
29,635743969,0,101180,7,2,25,154,5,19,5,21,115,2122,7,18047,19975,8,1731,4,55,1,197,43,17,10.0,23060^35196,1973^1795,367^162^312^168^114,24107,1218,173,202206030513,98^98^78^50^44,0,17
30,236417247,0,101506,3,2,40,351,3,13,4,23,114,1995,7,23550,13100,5,1226,4,30,1,282,31,22,10.0,24075^24498^17926^30426^32776,1610^1244^1036^1633^1800,190^336^312^321^162,24107,1819,173,202206030566,168^195^173^131,6,17
31,984188212,0,101220,3,2,34,414,2,34,3,29,306,2373,4,30805,16042,10,1492,5,13,1,121,40,18,10.0,21863^15724^23486^24397,2066^1330^1837^1968^1187,344^312^114^321,24107,1218,173,202206031042,194^140^76^188^51,9,16
32,855164567,0,101551,8,2,44,396,3,21,8,30,224,2045,4,16464,16510,3,1947,3,50,1,115,15,25,10.0,26152^30966^19937^31941^32230,1610^1244^1036^1633^1800,190^336^312^321^162,24107,1218,173,202206030362,171^78^216^71^121,7,17
33,381166882,0,100936,8,2,19,183,4,32,4,23,334,2568,3,12332,11472,5,1663,5,29,1,287,49,16,0.0,11911^33523^10625^18129^28665,1892^1955^1499^1828^1795,190^162^372^168,24107,1218,173,202206030829,168^216^98^57^112,9,17
34,169541137,0,100204,3,2,43,349,5,30,3,29,212,2141,7,34941,17813,10,1766,5,15,1,126,48,17,10.0,23428^20430^28031^24627^21600,2035^1296^1535^1060^1291,293,24107,1218,173,202206030459,65^98^86^104^39,9,17
35,438420082,0,100655,8,2,39,426,5,33,2,12,126,1271,7,10566,22313,8,1207,5,29,1,338,48,25,10.0,29156^24330^31740^18952^36314,1892^1955^1499^1828^1795,309^162^312^190,24107,1218,309,202206030707,171^65^165^206^216,7,17
36,646677357,0,100112,5,2,30,432,5,34,5,19,110,1828,7,13159,15967,8,1877,4,15,1,205,47,24,10.0,15764,1636^1044^1692^1302^1482,190^344^301^198^181,24107,1218,173,202206030992,98^66^168^65^71,8,17
37,696462604,0,100760,7,2,39,186,3,26,7,25,119,2342,7,21432,12262,8,1278,5,32,1,315,17,14,10.0,17580^20807^31686^32284^15203,1524^1542^1126^1515^1304,162^312,24107,1218,173,202206031398,216^57^98^112^57,9,17
38,413934183,0,100557,2,2,34,266,5,29,8,28,136,1714,7,30377,17371,8,1135,4,22,1,177,41,15,10.0,11346^28230^19879^13620^16625,1524^1542^1126^1515^1304,198^321^114^312^106,24107,1218,173,202206031147,117^194^199^65^128,8,17
39,859736466,0,100541,8,2,20,160,3,15,6,37,313,1959,6,31553,17691,8,1009,5,41,1,113,39,19,10.0,33009^19427^22937^24226^23632,1041^1232^1618^1964^1036,198^162,24107,1218,173,202206030940,98^98^94^186^44,8,17
40,785296621,0,100203,2,2,26,125,4,12,8,35,178,1306,7,16813,23348,8,1325,4,69,1,153,32,18,10.0,34999^21493^20284^10873^30172,1230^1169^1518^1036^1244,190^350^344^162^132,24107,1218,372,202206029992,219^112^199^112^168,6,15
41,736527843,0,101265,5,2,14,432,3,33,2,16,253,1146,7,31743,10424,8,1737,4,40,1,107,52,15,10.0,32701^15861^27753^31779,1898^1036^1690^1114^1423,162^317^190^344^309,24107,1218,173,202206030804,39^71,6,17
42,620162589,0,100760,7,2,17,366,5,27,4,30,320,1194,7,11729,21600,3,2006,5,16,1,105,28,22,10.0,18414^16216^25770^26466^21215,1669^1065^1690^1382^1340,190^208^199^162^152,24107,1218,173,202206030330,195^44^199^112^51,5,17
43,593501193,0,100193,5,4,12,158,5,29,7,20,144,2032,6,35017,11339,10,1451,5,63,1,155,20,25,0.0,25770^26988^31941^34072^36326,1858,305^327^344^317^301,24107,1218,162,202206030896,78^98^116^38^94,3,17
44,918837834,1,101445,3,2,44,389,2,21,6,25,110,2528,7,31112,10379,8,1255,4,62,1,299,48,19,10.0,12001^16502^32814^27081^34089,1856,317^212^121^162^306,24107,1218,173,202206030909,150^88^108^105^37,5,15
45,602603888,0,101249,8,2,32,402,2,31,4,33,266,2130,7,35913,17793,10,1790,5,32,1,141,24,14,10.0,11434^31342^23565^35828^15203,1518,168^312^309^344,24107,1218,173,202206030551,27^86^98^27^78,9,17
46,616051275,0,100668,3,2,41,168,2,13,6,23,171,1334,7,34118,23506,10,1248,4,18,1,357,42,18,10.0,35388^23559^34426^13598^14953,1633^1041^1119^1392^1831,350^162^271^312,24107,1218,190,202206030846,98^98^44^104^112,9,17
47,780522153,0,101543,5,2,27,137,2,19,3,15,229,2546,4,16438,14778,5,1104,5,62,1,328,18,24,0.0,15519^34597^18874^14945^15801,1613^1557^1910^1524^1899,257^176,24107,1218,173,202206030729,27^25^27^27^169,5,17
48,568026423,0,101174,6,2,29,367,2,27,8,13,219,2044,4,31179,16681,10,1784,4,14,1,163,52,15,10.0,35388^23559^34426^13598^14953,1585^1690^1922^1056,321^246^240^114^312,24107,1218,173,202206030613,98^39^112^78^112,5,17
49,466999884,0,100728,6,2,30,379,2,34,5,28,123,2512,7,11143,21789,3,1328,4,16,1,290,14,14,10.0,32492^10683^29524^34745^25802,1098^1404^1182^1879^1924,106^372^168,24107,1218,173,202206030613,128^98^98^168^44,0,17
50,579370660,0,100152,8,2,22,303,5,34,4,26,229,2421,7,23402,12595,10,1071,4,30,1,298,50,16,10.0,19771^15661^30907^16661^17440,1942,306^162^114^152^344,24368,1218,173,202206030793,78^8^17^192^174,7,17
51,695284053,0,100489,7,2,14,412,5,16,6,31,146,2304,7,24155,18431,10,1619,5,27,1,320,36,17,10.0,19379^14658^35034^26452^16402,1034^1236^1173,198^162,24107,1218,173,202206030631,63^207^220^153^168,7,17
52,725802552,0,100985,5,2,44,364,3,14,3,20,130,1979,4,20628,15181,8,1039,4,39,1,285,47,14,10.0,11623^13391^22937^15355^12298,1301^1036^1650^1511,162,24107,1218,173,202206031190,112^117^169^112^10,9,17
53,858818233,0,101512,6,2,31,324,4,34,4,24,120,2383,7,12920,22184,4,1238,5,24,1,372,15,21,10.0,24495^21172^17926^12566^11144,1858^1082^1036^1392^2001,162^111^346^197^349,24107,1218,173,202206030647,173^16^116^96^199,9,17
54,273260781,0,100343,5,2,39,421,3,34,5,19,118,1336,7,17223,18795,10,1064,4,21,1,136,47,18,10.0,14748^35040^34315^26095,1373^1482^1888,190^325^257,24107,1218,173,202206030485,78^199^112^112^157,8,17
55,250146366,0,100130,7,4,31,326,3,26,3,26,289,2444,7,15693,11051,8,1837,4,14,1,146,46,17,10.0,21493^19645^10625^24498^28668,1342^1106^2035,168^321^367^349^250,24107,1218,173,202206030379,98^78^199^112^167,4,15
56,347756547,0,100252,3,4,13,210,2,13,3,26,124,2475,7,25973,15997,8,1351,5,48,1,321,14,17,10.0,18800^33380^22139^34426^15999,2035^1296^1535^1060^1291,293,24107,1218,173,202206030803,67^173^17^112^98,8,17
57,384447079,0,100546,8,2,27,251,4,20,6,34,114,2387,7,18603,13604,3,1353,4,15,1,366,25,15,10.0,19379^14658^35034^26452^16402,1125^1518^1112^1669^1369,190^257,24107,1218,173,202206030482,216^65^168^112^81,8,16
58,360309687,1,101361,5,2,24,213,3,28,3,21,247,1864,7,25892,14541,5,1739,5,56,1,185,44,15,10.0,23918^35565^23183^17535^33535,1863^1036^1887^1007^1426,212^190^301^132^306,15684^26873^20049^24330^15472,1391,173,202206030953,25^169^168^116^67,0,17
59,682261601,0,100611,3,2,39,236,2,29,8,30,134,2379,7,24315,23177,3,1275,4,60,1,189,18,15,0.0,14995^28165^12211^33386^21638,1477^1973^1060^1923^1005,309^162^312^190,24107,1218,173,202206030493,65^98^98^201^78,9,16
60,682392561,0,100137,8,4,34,320,5,26,5,17,190,2166,7,28864,11571,7,1448,4,29,1,222,51,19,10.0,24055^14747^13947^26228^31382,1112^1245^1354^1637^1499,312,24107,1218,173,202206030916,41^37^39^17^98,9,17
61,276335165,0,100119,3,2,27,265,2,12,6,31,320,1695,7,20786,10328,8,1324,4,28,1,297,45,14,10.0,32490^25752^23338^16927^15323,1709^1195^1916^1014^1836,293,24107,1218,173,202206030050,65^219^50^83^145,9,17
62,712527104,0,101382,6,2,22,315,3,20,2,13,118,2366,7,16290,22705,8,1487,4,30,1,371,39,15,10.0,17932^22979^31573^33981,1858^1082^1036^1392^2001,162^106^312^199^168,24107,1218,173,202206030905,168^195^173^131,9,17
63,863193706,0,101508,7,4,33,345,3,34,2,15,215,2089,6,12349,15020,10,1014,4,13,1,370,21,17,10.0,14333^19667^33775,2035^1690^1036^1502^1669,317^257^240^198^162,24107,1218,173,202206030469,112^30^168^45^112,5,16
64,104014534,0,101502,3,3,18,255,2,28,2,13,137,1350,7,20019,12338,8,1133,4,25,1,330,25,19,0.0,24495^21172^17926^12566^11144,1363^1613^1664^1373^1177,190^240^181^197^312,24107,1218,173,202206030599,173^16^116^96^199,7,17
65,600053801,0,100897,8,4,36,168,5,34,2,12,142,2381,6,22849,13275,8,1850,4,15,1,273,51,16,10.0,12825^13723^23653^27223^32443,1926^1230^1223^1466^1875,162^196,24107,1036^1690^1964^1126^2035,173,202206030423,168^98^112^110^171,9,17
66,96467410,0,100597,8,4,13,146,5,32,8,30,192,2069,7,20312,10615,5,1246,3,43,1,221,16,21,10.0,22272^28241^33319^36110,1098^1404^1182^1879^1924,198^321^114^312^106,24107,1218,173,202206030855,65^98^98^201^78,9,17
67,516734823,0,100101,3,2,38,222,2,12,6,36,134,1665,7,18042,22910,3,1411,3,26,1,104,42,15,10.0,19771^15661^30907^16661^17440,1112^1499^1036^1217^1106,186^304,24107,1218,173,202206030108,98^78^199^112^167,5,17
68,844020189,0,101368,5,2,36,208,2,22,3,32,281,2259,4,11780,16843,2,1355,4,52,1,313,16,17,10.0,14333^19667^33775,1856,168^312^309^344,24107,1218,173,202206030498,67^8^123^65^157,9,17
69,911291723,0,100102,7,4,24,186,3,32,5,22,231,2179,6,10098,21227,8,1080,3,14,1,249,23,21,10.0,17421^12384^28148,1036,305^327^344^317^301,24107,1218,173,202206031182,171^65^199^186^112,9,17
70,274674951,0,100886,5,2,37,301,2,25,3,24,204,1837,7,15169,10936,8,1030,5,15,1,248,44,18,10.0,22130^24608^11811^19352^29226,1524^1542^1126^1515^1304,332^317^162,24107,1218,173,202206030817,172^86^78^98^215,8,17
71,784187900,0,101382,3,2,18,322,2,33,8,18,135,1120,7,10623,18050,8,1049,5,21,1,361,40,21,0.0,32898^12942^19455^20851^14649,1005^1478^1173^1134^1741,190^312^168,24107,1218,173,202206031137,168^195^173^131,7,16
72,941373003,0,100935,3,2,28,269,2,31,8,24,154,1231,7,30539,15805,8,1831,5,44,1,113,52,17,10.0,33475^32702^29399^24984^36215,1041^1023^1036^1498^1798,190^208^199^162^152,24107,1218,173,202206031491,78^98^98^57^128,8,17
73,356028522,0,101524,7,2,19,184,3,24,6,36,201,2547,7,11988,15319,8,1943,3,39,1,110,47,17,0.0,24055^21493^19168^11770^18277,1856,312^162^350,24107,1218,173,202206030956,49^216^199^100^137,9,17
74,454696497,0,100540,8,2,35,339,5,19,3,20,197,2445,7,14111,14863,7,1836,5,61,1,196,25,19,10.0,11623^13391^22937^15355^12298,1345^1774^1293^1433^1220,309^162^312^190,24107,1218,173,202206030557,117^194^199^65^128,7,17
75,608355387,0,101000,5,2,35,239,5,34,3,29,190,1914,7,15751,23418,8,1715,5,63,1,173,30,18,10.0,17778^19790^24949^17771^24998,1892^1955^1499^1828^1795,212^190^301^132^306,24107,1218,173,202206030477,206^168^96^74^44,9,17
76,896906409,0,101209,3,3,37,207,2,31,2,13,166,1634,7,35028,20922,8,1433,4,61,1,255,18,19,10.0,33350^15103^32776^26597^12165,2035^1690^1036^1502^1669,190^296,24107,1218,173,202206030748,168^199^65^201^36,2,17
77,801799296,0,101039,7,2,33,132,2,14,3,15,162,1040,4,18584,13907,8,1070,5,13,1,347,31,17,10.0,21670^28872^32898^33764^33175,1406^1646^1795^1286^1078,168^312^309^344,26763,1218,173,202206030666,117^17^15^7^86,7,17
78,828706152,0,100176,5,2,40,363,2,23,5,28,339,2017,7,11281,15879,8,1267,5,51,1,196,43,15,10.0,24553^12211^21323^33052^27898,1858,293,24107,1218,173,202206030554,78^98^116^38^94,9,17
79,1738743,0,100853,7,4,25,415,2,13,3,24,137,2164,7,31689,18906,10,1712,4,13,1,251,32,20,10.0,14737^21424^15061^19942^27576,1613^1557^1910^1524^1899,350^251^322^312,24107,1218,173,202206030304,195^112^65^171^57,4,17
80,375246817,0,101380,3,2,13,271,2,26,6,29,317,2071,7,36118,11888,8,1624,4,63,1,228,37,18,10.0,17020^16176^18917^15519^16502,1613^1161,305^240^168^372^196,24107,1218,173,202206030590,98^199^98^86^153,9,17
81,584092668,0,100959,2,2,34,402,4,24,2,16,259,1889,7,12183,17854,8,1141,4,14,1,370,40,15,10.0,25318^32409^12569^34458^10445,1633^1041^1119^1392^1831,176^306^141,24107,1218,173,202206030252,168^216^98^57^112,4,17
82,598044364,0,101389,8,4,30,268,3,28,7,17,335,2001,7,12842,17721,10,1807,4,16,1,114,48,16,10.0,20119^31155^34954^23621^20429,1610^1244^1036^1633^1800,162^328^312,24107,1218,173,202206031131,98^65^220^98^7,8,17
83,359344666,0,101026,3,2,31,261,4,15,6,34,175,1612,7,17083,23469,5,1569,4,27,1,345,34,21,10.0,23060^35196,1112^1316^1767^1382^1698,306^190,24107,1218,173,202206030749,25^169^168^116^67,6,17
84,378842254,0,100680,8,2,45,281,2,13,2,14,155,2295,7,30625,13086,3,1090,5,57,1,171,46,25,10.0,15323^19574^18945^20757^30212,1195^1613^1149^1036^1795,152^305^162^367^190,24107,1218,173,202206030184,65^98^57^114^191,9,17
85,367084083,0,100605,6,4,31,388,5,33,2,18,297,2114,6,17703,20867,5,2075,5,19,1,359,16,18,10.0,21811^15198^23199^13018^31686,1023^1830^1036^2035^2066,309^162^312^190,24107,1218,173,202206030765,171^168^98^152^39,9,17
86,270385981,0,100287,5,2,17,295,2,31,3,26,220,2502,3,24775,21399,8,1046,4,69,1,201,39,16,10.0,14748^35040^34315^26095,1060^1112^1392^1041^1189,190,24107,1218,173,202206030224,78^0^0^44^7,8,16
87,571788987,1,100696,7,2,16,381,5,23,8,22,140,2226,4,19432,17875,8,1692,5,40,1,143,27,18,10.0,23416^20596^34721^18277^28274,1898^1036^1690^1114^1423,335^257,24107,1218,173,202206031168,98^173^211^199^37,8,17
88,540327134,0,100375,4,4,23,370,4,17,2,22,179,1823,7,35180,15451,3,1224,5,48,1,106,20,27,10.0,11623^13391^22937^15355^12298,1650^1549^1511^1172,168^344^301^184^225,15684^26873^20049^24330^15472,1218,173,202206030805,78^94^128^98^142,5,17
89,439590876,0,100891,7,2,21,125,5,13,6,29,136,2396,7,10139,13793,10,1867,5,37,1,371,21,16,10.0,33750^27555^32213^36018^20554,1112^1344^1067^1633^1173,280^162^190^240^350,24107,1343^1795,173,202206030422,173^142,8,17
90,930506667,0,101275,8,2,42,345,3,14,8,22,283,2449,3,24269,11576,10,1410,5,60,1,109,27,19,10.0,24075^24498^17926^30426^32776,1005^1582^1311^1220,162^106^312^199^168,24107,1218,173,202206031309,168^199^65^201^36,9,17
91,136832030,0,100751,2,2,16,256,5,25,6,27,273,1386,3,22176,20578,10,1812,3,45,1,249,40,16,10.0,16086^32929^32297^22144^28911,1404^1403,350^162^190^317^309,24107,1819,367^298,202206031372,168^216^98^57^112,5,17
92,268873296,0,100659,6,4,19,308,4,23,2,13,158,2532,7,21758,13165,8,1576,5,30,1,282,24,18,0.0,19379^14658^35034^26452^16402,1524^1542^1126^1515^1304,184^309^344^304,24107,1218,173,202206030399,112^199^112^174^65,8,15
93,152113655,0,100259,5,2,26,198,3,13,5,14,111,2217,4,25442,20129,2,1158,5,64,1,281,21,18,0.0,24429^21001^24896^27947^24271,1942,198^321^114^312^106,24368,1218,173,202206031712,65^98^86^104^39,4,17
94,608872379,0,100262,8,2,42,253,4,26,2,17,330,2130,7,23199,11084,8,1602,4,46,1,359,19,17,10.0,28148^10653^13451^34574^28594,1481^1699^1656^1877^1385,332^317^162,24107,1218,196^257^301^240^176,202206030915,112^78^112^86^57,6,17
95,761926679,0,100500,7,2,27,256,4,20,4,19,237,1284,3,25408,11069,8,1311,3,18,1,241,15,14,10.0,34365^13246^11811^28700^29612,1991^1830^1145^1535,197^350,24107,1218,173,202206030940,65^173^171^168^56,5,17
96,83901908,0,101130,8,2,26,259,2,28,5,24,163,1790,7,20165,20834,8,1301,4,35,1,321,52,17,10.0,11434^31342^23565^35828^15203,1112^1373^1719^1633^1340,162^305^240^114^321,24107,1218,173,202206030584,98^65^220^98^7,5,16
97,668228535,0,101641,3,2,20,213,5,19,3,25,125,2329,7,26381,20122,8,1854,4,24,1,274,44,25,10.0,24495^21172^17926^12566^11144,1105^1509^1036^1795^1774,162^111^346^197^349,24107,1218,173,202206031305,74^0^98^112^22,9,17
98,437218375,0,100011,8,2,20,336,5,34,5,32,225,1485,7,36199,10132,10,1016,4,14,1,261,42,16,10.0,14737^25802^32492^13240^33873,1126^1037^1730^1719^1382,305^327^344^317^301,24107,1218,173,202206030620,16^173^168^151^65,9,11
99,924756348,0,100543,8,4,24,264,2,15,5,21,137,1852,7,13231,22288,10,1598,5,30,1,225,19,21,10.0,11623^13391^22937^15355^12298,1345^1774^1293^1433^1220,309^162^312^190,24107,1218,173,202206030991,65^199^168^65^21,4,17
100,163669829,0,101553,8,2,24,345,5,25,2,13,120,1361,7,28282,22000,8,1370,4,13,1,281,24,26,10.0,24495^21172^17926^12566^11144,1086^1819^1575^1041^1354,190^336^312^321^162,24107,1218,173,202206031260,173^16^116^96^199,4,17
101,655647432,0,101255,5,2,19,267,2,33,2,20,314,2523,7,36051,10494,8,1662,4,15,1,156,40,14,10.0,22141^31996^10445^35730^29996,1481^1577^1650^1624^1498,336^162^346,24107,1218,173,202206031167,98^65^220^98^7,7,17
102,976545353,0,100872,6,2,19,329,5,19,6,31,165,1227,7,24770,17639,8,1044,4,20,1,253,41,16,10.0,35388^23559^34426^13598^14953,1086^1004^1457^1369^1014,114^298^152^162^168,24107,1218,173,202206031270,112^117^169^112^10,0,17
103,678203002,0,100896,6,4,31,375,2,34,2,18,351,1574,7,34399,12384,7,1040,5,21,1,116,45,17,10.0,11923^21989^30157^21812^30197,1585^1690^1922^1056,176^306^141,24107,1218,173,202206031452,27^86^98^27^78,7,16
104,308771136,0,101331,3,3,41,415,2,32,2,13,258,2049,7,13591,18689,8,1162,3,32,1,343,38,21,10.0,33350^15103^32776^26597^12165,1667^1404^1690^1557^1779,350^162^190^317^309,24107,1218,173,202206029921,171^86^112^51^86,7,17
105,455737024,0,100620,5,4,13,298,2,13,3,21,317,1729,7,30164,14119,10,1755,4,15,1,353,15,20,0.0,23266^25445^28290^11125,1639^1363^1155^1481,152^309^114^162^349,24107,1218,367^298,202206031026,220^191^30^142^39,5,17
106,38176911,0,100177,2,2,26,182,5,18,8,29,194,2156,3,23859,20208,10,1115,3,23,1,124,51,20,10.0,24553^12211^21323^33052^27898,1487^1511^1423^1518^1766,293,24107,1218,173,202206030747,67^173^17^112^98,9,17
107,899730529,0,100790,6,2,33,117,2,24,6,30,255,1917,6,33844,15228,8,1627,5,69,1,132,38,25,0.0,20974^15666^32675^26463,1511^1831^1518^2041^1173,162^190^240^280^206,24107,1218,173,202206030942,86^199^80^62^208,8,17
108,747494128,0,101302,6,2,34,394,4,29,7,17,216,2550,7,28001,16198,8,1157,5,58,1,274,50,18,10.0,24892^12102^25494^14835^17911,1694^1982,350^162^190^317^309,24107,1218,173,202206031105,27^86^98^27^78,7,17
109,131563793,0,100127,7,2,24,286,4,34,2,14,173,1622,7,29042,22067,8,1419,5,15,1,313,33,16,10.0,35196^28726^25733^30529,1342^1106^2035,350^240^168,24107,1218,173,202206031241,0,7,17
110,680021047,0,100236,8,2,28,309,5,31,4,24,141,1811,7,12852,23316,8,1395,4,16,1,299,49,14,10.0,15764,1942,293,24107,1023^1380,173,202206030319,199^169^119^147^86,8,11
